internship_id,company_name,title,sector,required_skills,required_qualification,district,state,mode,capacity,selected_count
1,Infosys,Database Administrator Intern,IT / Software,"[""AWS""]",Diploma,Pune,Maharashtra,On-site,5,0
2,Tata Consultancy Services,Backend Developer Intern,IT / Software,"[""Git""]",B.Tech / B.E.,Bengaluru Urban,Karnataka,Remote,5,0
3,ITC Limited,Frontend Engineer Intern,IT / Software,"[""HTML/CSS"", ""JavaScript""]",Diploma,Bhagalpur,Bihar,Remote,1,1
4,ITC Limited,Database Administrator Intern,IT / Software,"[""JavaScript"", ""Git"", ""SQL"", ""HTML/CSS""]",M.Sc,Patna,Bihar,On-site,1,0
5,Cognizant,Production line trainee,Manufacturing,"[""Data Analysis"", ""Communication"", ""Quality Control""]",Diploma,Simdega,Jharkhand,Remote,3,0
6,Apollo Hospitals,Soil testing lab intern,Agriculture,"[""Research Methods"", ""Excel""]",Diploma,Kolar,Karnataka,Remote,1,0
7,Wipro,Healthcare Operations Intern,Healthcare,"[""First Aid"", ""Record Keeping"", ""Communication"", ""Patient Care""]",Diploma,Kolar,Karnataka,On-site,5,3
8,Fortis Healthcare,Inventory Management Trainee,Logistics / Supply Chain,"[""Logistics Planning"", ""Inventory Management""]",PhD,Pune,Maharashtra,Remote,1,0
9,Apollo Hospitals,Public Policy Trainee,Government,"[""Report Writing"", ""Audit Checks"", ""Excel"", ""Communication""]",B.Tech / B.E.,Muzaffarpur,Bihar,On-site,5,3
10,Mahendra & Mahendra,CAD Draftsman,Manufacturing,"[""Quality Control"", ""Data Analysis"", ""Communication""]",B.Tech / B.E.,Gaya,Bihar,Hybrid,3,0
11,Apollo Hospitals,Agronomy Trainee,Agriculture,"[""Research Methods""]",B.Tech / B.E.,Faridabad,Haryana,Hybrid,3,0
12,Wipro,Quality Assurance Assistant,Manufacturing,"[""Data Analysis"", ""CAD Drawing""]",B.Tech / B.E.,Bokaro,Jharkhand,Hybrid,2,0
13,Fortis Healthcare,Clinical Lab Intern,Healthcare,"[""Record Keeping"", ""Patient Care"", ""First Aid""]",PhD,Thane,Maharashtra,Remote,2,0
14,Reliance Retail,Warehouse Supervisor Trainee,Logistics / Supply Chain,"[""Data Analysis""]",B.Sc,Ranchi,Jharkhand,Remote,1,0
15,Reliance Retail,Training Coordinator,Education,"[""Content Writing"", ""PowerPoint"", ""Teaching"", ""Communication""]",ITI,Hubli,Karnataka,Remote,4,0
16,Flipkart,Database Administrator Intern,IT / Software,"[""JavaScript"", ""FastAPI"", ""Docker""]",B.Tech / B.E.,Ranchi,Jharkhand,Remote,4,0
17,ITC Limited,Graphic Design Trainee,Media / Entertainment,"[""Figma""]",B.Com,Simdega,Jharkhand,On-site,5,5
18,Reliance Retail,Investment Analyst Trainee,Finance / Banking,"[""Excel"", ""Data Analysis"", ""Tableau"", ""Financial Modeling""]",Diploma,Muzaffarpur,Bihar,Hybrid,3,0
